ExitTime Beta JobID ParticleID
-3.0 -1 1 3
46.082 -1 1 4
47.385 -1 1 5
56.075 -1 1 6
45.883 -1 1 7
61.95 -1 1 8
49.416000000000004 -1 1 9
77.522 -1 1 0
-1.0 -1 1 1
52.456 -1 1 2
-3.0 -1 1 3
62.56 -1 1 4
46.122 -1 1 5
46.572 -1 1 6
42.303000000000004 -1 1 7
45.606 -1 1 8
48.449 -1 1 9
0.0 -1 1 0
-1.0 -1 1 1
62.263 -1 1 2
53.188 -1 1 3
-4.0 -1 1 4
54.865 -1 1 5
48.792 -1 1 6
51.188 -1 1 7
43.926 -1 1 8
40.828 -1 1 9
50.059 -1 1 0
-1.0 -1 1 1
-2.0 -1 1 2
60.276 -1 1 3
-4.0 -1 1 4
49.667 -1 1 5
51.983000000000004 -1 1 6
61.448 -1 1 7
44.891 -1 1 8
46.098 -1 1 9
0.0 -1 1 0
-1.0 -1 1 1
-2.0 -1 1 2
47.858000000000004 -1 1 3
47.585 -1 1 4
50.139 -1 1 5
46.35 -1 1 6
63.649 -1 1 7
54.141 -1 1 8
40.712 -1 1 9
60.592 -1 1 0
55.767 -1 1 1
47.056000000000004 -1 1 2
-3.0 -1 1 3
46.83 -1 1 4
49.503 -1 1 5
-6.0 -1 1 6
59.414 -1 1 7
44.24 -1 1 8
43.812 -1 1 9
61.522 -1 1 0
-1.0 -1 1 1
56.719 -1 1 2
-3.0 -1 1 3
-4.0 -1 1 4
45.894 -1 1 5
48.719 -1 1 6
46.445 -1 1 7
43.888 -1 1 8
46.491 -1 1 9
0.0 -1 1 0
51.975 -1 1 1
-2.0 -1 1 2
-3.0 -1 1 3
54.961 -1 1 4
47.548 -1 1 5
45.143 -1 1 6
42.529 -1 1 7
42.44 -1 1 8
-9.0 -1 1 9
51.209 -1 1 0
-1.0 -1 1 1
-2.0 -1 1 2
47.543 -1 1 3
-4.0 -1 1 4
55.153 -1 1 5
63.711 -1 1 6
45.607 -1 1 7
44.949 -1 1 8
45.949 -1 1 9
0.0 -1 1 0
52.858000000000004 -1 1 1
-2.0 -1 1 2
49.04 -1 1 3
50.841 -1 1 4
61.904 -1 1 5
-6.0 -1 1 6
51.576 -1 1 7
45.566 -1 1 8
42.044000000000004 -1 1 9
0.0 -1 1 0
-1.0 -1 1 1
-2.0 -1 1 2
53.705 -1 1 3
47.746 -1 1 4
54.635 -1 1 5
44.195 -1 1 6
56.061 -1 1 7
45.556000000000004 -1 1 8
44.098 -1 1 9
0.0 -1 1 0
52.363 -1 1 1
48.267 -1 1 2
-3.0 -1 1 3
47.76 -1 1 4
53.96 -1 1 5
50.809000000000005 -1 1 6
58.713 -1 1 7
-8.0 -1 1 8
45.013 -1 1 9
63.099000000000004 -1 1 0
-1.0 -1 1 1
-2.0 -1 1 2
-3.0 -1 1 3
47.29 -1 1 4
47.504 -1 1 5
47.659 -1 1 6
50.003 -1 1 7
41.708 -1 1 8
52.216 -1 1 9
0.0 -1 1 0
51.162 -1 1 1
50.524 -1 1 2
-3.0 -1 1 3
74.359 -1 1 4
45.399 -1 1 5
45.285000000000004 -1 1 6
54.34 -1 1 7
46.082 -1 1 8
-9.0 -1 1 9
51.326 -1 1 0
62.708 -1 1 1
65.07000000000001 -1 1 2
-3.0 -1 1 3
65.32000000000001 -1 1 4
53.915 -1 1 5
47.708 -1 1 6
42.337 -1 1 7
47.663000000000004 -1 1 8
43.018 -1 1 9
57.395 -1 1 0
61.972 -1 1 1
-2.0 -1 1 2
64.495 -1 1 3
52.361000000000004 -1 1 4
49.56 -1 1 5
58.862 -1 1 6
59.965 -1 1 7
44.46 -1 1 8
41.493 -1 1 9
0.0 -1 1 0
50.787 -1 1 1
-2.0 -1 1 2
59.52 -1 1 3
-4.0 -1 1 4
48.145 -1 1 5
44.681 -1 1 6
62.735 -1 1 7
46.486000000000004 -1 1 8
48.847 -1 1 9
0.0 -1 1 0
48.86 -1 1 1
-2.0 -1 1 2
-3.0 -1 1 3
50.619 -1 1 4
56.121 -1 1 5
46.155 -1 1 6
81.034 -1 1 7
48.266 -1 1 8
46.378 -1 1 9
0.0 -1 1 0
-1.0 -1 1 1
53.038000000000004 -1 1 2
72.629 -1 1 3
49.619 -1 1 4
45.484 -1 1 5
56.941 -1 1 6
45.144 -1 1 7
52.042 -1 1 8
49.132 -1 1 9
0.0 -1 1 0
-1.0 -1 1 1
57.891 -1 1 2
51.744 -1 1 3
-4.0 -1 1 4
48.506 -1 1 5
45.473 -1 1 6
42.526 -1 1 7
44.806 -1 1 8
-9.0 -1 1 9
52.669000000000004 -1 1 0
-1.0 -1 1 1
-2.0 -1 1 2
46.026 -1 1 3
48.255 -1 1 4
57.146 -1 1 5
-6.0 -1 1 6
52.756 -1 1 7
42.966 -1 1 8
57.479 -1 1 9
51.2 -1 1 0
-1.0 -1 1 1
-2.0 -1 1 2
57.666000000000004 -1 1 3
65.568 -1 1 4
47.404 -1 1 5
44.343 -1 1 6
45.953 -1 1 7
-8.0 -1 1 8
47.022 -1 1 9
51.92 -1 1 0
-1.0 -1 1 1
62.799 -1 1 2
58.543 -1 1 3
-4.0 -1 1 4
45.69 -1 1 5
48.152 -1 1 6
46.035000000000004 -1 1 7
60.816 -1 1 8
48.832 -1 1 9
58.913000000000004 -1 1 0
-1.0 -1 1 1
49.895 -1 1 2
-3.0 -1 1 3
45.967 -1 1 4
49.427 -1 1 5
47.17 -1 1 6
-7.0 -1 1 7
47.281 -1 1 8
56.803000000000004 -1 1 9
0.0 -1 1 0
56.279 -1 1 1
51.348 -1 1 2
-3.0 -1 1 3
-4.0 -1 1 4
45.182 -1 1 5
55.671 -1 1 6
47.857 -1 1 7
44.193 -1 1 8
-9.0 -1 1 9
0.0 -1 1 0
-1.0 -1 1 1
54.951 -1 1 2
50.132 -1 1 3
45.701 -1 1 4
64.545 -1 1 5
47.745 -1 1 6
52.22 -1 1 7
-8.0 -1 1 8
45.913000000000004 -1 1 9
65.71000000000001 -1 1 0
48.505 -1 1 1
-2.0 -1 1 2
-3.0 -1 1 3
46.631 -1 1 4
47.64 -1 1 5
53.94 -1 1 6
48.881 -1 1 7
43.754 -1 1 8
58.7 -1 1 9
0.0 -1 1 0
54.78 -1 1 1
-2.0 -1 1 2
47.939 -1 1 3
50.448 -1 1 4
54.799 -1 1 5
43.132 -1 1 6
55.168 -1 1 7
44.738 -1 1 8
-9.0 -1 1 9
52.45 -1 1 0
-1.0 -1 1 1
-2.0 -1 1 2
72.655 -1 1 3
45.977000000000004 -1 1 4
59.159 -1 1 5
51.282000000000004 -1 1 6
-7.0 -1 1 7
46.376 -1 1 8
46.92 -1 1 9
51.14 -1 1 0
-1.0 -1 1 1
50.884 -1 1 2
52.701 -1 1 3
48.338 -1 1 4
53.554 -1 1 5
-6.0 -1 1 6
42.986000000000004 -1 1 7
71.45100000000001 -1 1 8
52.825 -1 1 9
0.0 -1 1 0
69.366 -1 1 1
-2.0 -1 1 2
52.493 -1 1 3
48.666000000000004 -1 1 4
56.452 -1 1 5
-6.0 -1 1 6
44.463 -1 1 7
46.187 -1 1 8
41.118 -1 1 9
53.910000000000004 -1 1 0
-1.0 -1 1 1
58.036 -1 1 2
-3.0 -1 1 3
53.582 -1 1 4
-5.0 -1 1 5
46.521 -1 1 6
-7.0 -1 1 7
46.757 -1 1 8
41.035000000000004 -1 1 9
0.0 -1 1 0
-1.0 -1 1 1
51.924 -1 1 2
-3.0 -1 1 3
56.711 -1 1 4
50.763 -1 1 5
58.231 -1 1 6
45.529 -1 1 7
41.777 -1 1 8
42.436 -1 1 9
48.985 -1 1 0
-1.0 -1 1 1
48.112 -1 1 2
50.568 -1 1 3
-4.0 -1 1 4
-5.0 -1 1 5
59.244 -1 1 6
45.71 -1 1 7
43.357 -1 1 8
45.945 -1 1 9
0.0 -1 1 0
52.529 -1 1 1
-2.0 -1 1 2
48.363 -1 1 3
53.77 -1 1 4
46.92 -1 1 5
54.921 -1 1 6
-7.0 -1 1 7
45.945 -1 1 8
41.028 -1 1 9
49.29 -1 1 0
-1.0 -1 1 1
58.463 -1 1 2
62.806000000000004 -1 1 3
48.236000000000004 -1 1 4
-5.0 -1 1 5
58.842 -1 1 6
47.924 -1 1 7
45.69 -1 1 8
48.128 -1 1 9
0.0 -1 1 0
50.022 -1 1 1
59.113 -1 1 2
-3.0 -1 1 3
66.093 -1 1 4
63.775 -1 1 5
46.682 -1 1 6
48.49 -1 1 7
46.074 -1 1 8
42.892 -1 1 9
